Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
personality,NA,NA,NA,6.18,1.79,22,6.14,1.61,22,6.62,1.06,8,4.5,2.57,26,4.85,3.02,13,811
personnel,5.25,1.58,55,5.21,1.78,53,5.37,1.74,19,5.57,1.51,7,3.67,2.11,21,4.22,1.72,9,835
perspective,5.74,1.7,27,4.55,1.82,33,6.21,1.72,19,5.71,1.25,7,3.64,2.13,22,4.4,2.12,10,419
persuasion,NA,NA,NA,4.94,2.01,18,5.67,1.49,21,6.62,1.51,8,5.16,1.91,25,5.93,0.92,14,100
persuasive,4.75,1.65,16,4.81,2.3,27,5.84,1.92,19,6.67,1.58,9,4.87,2.28,23,4.4,2.67,10,111
pet,6.24,2.16,85,6,2.18,78,7.05,1.39,38,7.35,1.27,17,3.76,2.7,21,4.4,2.63,10,1029
petty,NA,NA,NA,4.77,2.16,22,4.4,2.46,20,4.77,2.77,13,4.45,1.96,20,4.42,2.15,12,438
phenomenon,6.07,2.15,15,5.65,2.09,17,6.79,1.32,19,6.43,1.4,7,5,2.65,21,5.56,1.81,9,234
philosophy,NA,NA,NA,4.14,1.96,22,5.48,1.94,21,7,1.83,4,2.9,1.59,20,3.33,1.58,9,422
phone,5.94,1.84,16,5,2.16,25,6.09,1.63,22,6.07,1.77,14,3.43,1.94,21,3.67,2.4,9,13756
photo,NA,NA,NA,5.71,1.9,21,6.58,1.28,24,6.86,1.21,7,4.6,2.3,20,4.8,2.53,10,1165
photographer,6.11,1.09,27,4.56,1.92,32,6.71,1.42,21,6.92,1.51,12,3.58,2.6,24,4.7,2.71,10,465
photography,6.86,1.88,14,5.35,2.47,17,6.67,1.32,21,6.67,1.56,12,3.96,2.46,24,5.3,2.06,10,198
phrase,NA,NA,NA,4.75,2.36,20,5.5,1.64,20,5.5,1.41,8,3,1.84,20,2.89,1.54,9,464
physical,5.37,1.36,27,5.12,2.3,32,5.9,1.87,21,6.42,1.88,12,5.5,2.46,20,6.11,2.32,9,1386
physician,NA,NA,NA,4.67,1.68,21,5.24,1.64,21,5.9,1.1,10,3.96,2.36,23,4,2.72,11,313
physics,3.62,2.18,60,4.72,2.24,58,5.53,2.17,19,5.78,2.64,9,4.27,2.43,22,4.89,2.89,9,482
piano,6.51,1.93,85,5.2,2.65,79,6.4,1.76,20,7,1.76,10,3.61,2.1,23,4.36,2.2,11,1268
pickup,4.93,1.14,27,4.82,1.59,33,4.84,2.43,19,3.5,1.76,6,3.85,2.18,20,4.43,2.51,7,389
picnic,6.76,2.12,83,6.3,2.42,76,7.11,2.08,19,6.5,2.35,6,3.65,2.6,20,3,2.52,7,596
pie,7.12,1.5,16,5.35,2.15,26,6.45,1.99,40,6.35,2.39,20,4.05,2.49,41,4.93,2.56,14,1466
piece,NA,NA,NA,4.81,2.18,21,5.23,1.8,22,4.71,1.94,14,3.57,1.99,21,3.78,2.28,9,6349
piggy,5.31,1.62,16,3.92,2.06,25,4.71,1.52,21,5.18,1.17,11,3.18,2.17,22,2.8,2.05,5,225
piglet,6.67,2.23,15,5,2.32,17,6.13,2.42,23,6.92,2.68,12,3.95,2.21,22,4.18,1.99,11,108
pill,3.81,1.17,16,4.08,1.9,26,4.16,1.8,19,4.2,1.03,10,3.73,2.19,22,3.89,2.26,9,603
pilot,5.81,1.13,26,4.66,1.84,32,6,1.61,21,5.92,1.78,12,5.6,2.33,20,5.22,2.17,9,1360
pimp,3.57,2.09,74,4.3,1.96,67,3.05,2.38,21,3.19,2.01,16,4.2,2.5,25,4.14,2.98,14,440
pinch,NA,NA,NA,5.12,2.06,17,3.5,1.32,20,3.71,1.11,7,4.44,2.59,43,4.38,2.58,21,312
pine,5.34,1.71,35,4.33,1.74,46,6.58,1.3,19,6.44,1.51,9,3.25,2.1,20,4.57,1.9,7,316
pineapple,5.98,1.89,85,5.33,1.93,78,6.9,1.97,21,6.33,2.74,9,4.41,2.36,22,5.2,1.3,5,130
pink,6.33,1.62,27,4.85,2.33,33,6.68,1.89,22,6.5,2.15,12,4.35,2.98,20,4.44,2.88,9,1452
pioneer,5.54,1.64,56,5.3,1.76,53,6,1.73,21,6,1.9,11,3.43,2.4,21,2.2,1.64,5,106
pipe,NA,NA,NA,4.59,2.2,22,4.75,1.86,20,5,2.19,11,4.11,2.85,18,4.2,3.05,10,989
