Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
severe,3.17,1.93,82,4.26,2.07,74,3.21,1.13,19,2.89,1.27,9,5.43,1.83,21,5.43,2.07,7,480
sew,5.19,1.76,52,4.16,2.15,51,5.67,1.49,21,5.38,2.13,8,4.35,2.21,23,5,1.88,14,280
sewer,3.72,2.25,75,4.12,2.06,68,2.9,1.76,21,2.7,1.57,10,3.39,2.06,23,3.18,2.14,11,240
sex,6.21,2.11,113,6.38,2.16,111,6.73,2.07,22,6.73,2.49,11,7.6,2.01,915,7.53,2.1,415,7761
sexuality,4.67,1.18,27,5.36,2.25,33,5.95,1.27,19,6.14,1.35,7,7.14,1.96,21,7,1.73,7,158
shack,4.69,1.9,51,4.59,1.62,49,3.89,1.63,19,4.2,0.92,10,3.33,1.98,21,2.86,1.68,7,288
shady,4.14,2.03,35,4.53,1.93,43,3.71,1.85,21,4,3.83,4,4.29,2.15,21,4.4,2.32,10,120
shaft,4.62,1.31,32,4.5,1.68,44,4.86,2.26,21,5.44,3.09,9,4.65,2.39,20,4.67,1.8,9,393
shaky,3.13,1.68,15,4.7,1.92,23,3.16,1.17,19,3.4,1.07,10,4.33,2.2,21,4.43,2.76,7,151
shallow,3.77,1.64,57,3.82,1.5,55,3.86,1.74,21,4.17,1.99,12,3,2.34,24,3.7,2.45,10,301
shame,2.6,1.67,85,4.04,2.15,79,2.62,2.11,21,3,2.37,12,5.4,2.64,20,4.67,2.74,9,2120
shampoo,5.8,1.86,85,4.58,2.22,79,5.75,1.33,20,6.14,1.17,14,3.18,2.06,22,3.83,2.25,12,215
shape,5.93,1.98,14,4.12,2,17,5.41,1.87,22,5.92,2.11,12,3.6,2.06,20,3.78,2.49,9,1542
shark,4.59,1.87,27,5.53,1.92,32,4.02,1.8,42,4.25,1.73,16,5.27,2.65,45,5.67,3.01,18,764
sharp,4.3,2.04,37,5.24,2.23,49,5.24,2.02,21,5.08,2.22,13,6,2.11,19,5.92,2.23,12,1213
shed,4.35,1.2,26,3.79,1.59,29,5.37,1.86,19,5.29,0.49,7,3.64,2.19,22,4.6,2.32,10,560
sheer,4.4,2.03,15,4.09,1.66,22,5.38,1.4,21,5.62,1.45,13,5.55,2.74,20,6.17,2.72,12,233
shield,NA,NA,NA,4.76,2.3,21,5.91,1.41,22,6.62,1.77,8,3.65,2.51,26,4.69,2.75,13,418
ship,6.8,1.37,15,5.04,1.75,26,6.14,1.68,21,6.29,2.29,7,3.94,2.29,18,4.6,2.41,10,5043
shipment,5.4,1.75,84,5.31,1.92,77,5.26,1.41,19,4.92,0.95,13,3.91,1.86,23,4.22,2.22,9,322
shirt,5.67,1.64,85,5.03,2.19,77,5.56,1.85,18,5,1.67,11,2.3,1.59,20,1.67,1.12,9,2365
shock,3.88,1.71,16,5.78,2.38,27,3.9,2.05,21,4.58,2.27,12,5.95,2.86,20,6.11,2.93,9,1468
shoes,6.14,1.88,58,5.89,2.02,57,5.88,1.92,24,5,2.39,8,3.57,2.87,23,3.82,3.16,11,3782
shoot,NA,NA,NA,5.59,1.92,22,3.5,2.37,22,3.71,2.46,14,6,2.47,21,5.67,2.74,9,8412
shooter,3.5,2.22,80,5.26,2.29,74,3.7,2,20,3.93,1.86,14,6.48,2.06,21,6.57,2.88,7,499
shop,6.95,2,60,6.95,2.04,58,5.89,2.4,18,4.82,2.14,11,4.76,2.62,21,5.56,3.4,9,2731
shortage,2.93,1.07,14,5.47,2.5,17,3.63,1.57,19,3.62,1.6,8,3.72,2.02,18,3.71,1.8,7,134
shorts,5.75,2.08,59,5.29,2.06,58,5.95,1.85,20,5.43,1.79,14,4.23,2.29,22,4.89,2.89,9,480
shot,NA,NA,NA,5.14,2.32,22,2.82,1.71,22,3,1.92,14,6.48,2.38,21,5.78,3.11,9,11599
shotgun,3.06,2.03,177,5.78,2.28,199,3.5,2.04,20,4.5,1.84,10,6.55,2.22,918,6.41,2.26,418,512
shove,3.25,1.44,16,4.16,1.75,25,3.1,1.14,21,3.08,1.24,12,3.83,3.06,24,4.9,3.07,10,674
show,6.11,1.89,36,5.62,1.87,47,5.91,1.27,22,5.93,1.27,14,4.1,2.41,21,3.33,2.4,9,24906
shower,NA,NA,NA,5.09,2.52,22,7.19,1.57,21,7,1.65,12,4.15,2.72,20,4.44,3.05,9,2097
shrimp,6.12,1.89,16,4.42,1.92,26,6.95,1.72,21,6.9,1.85,10,3.78,2.52,23,4.09,2.88,11,444
shrine,5.54,1.77,24,4.69,1.98,29,5.38,1.47,21,5.4,1.78,10,3.35,2.1,23,3.64,2.25,11,151
shuffle,5.09,1.54,35,4.57,1.92,47,4.72,1.02,18,5.14,1.21,7,3.45,2.28,20,2.67,2.18,9,150
shy,6.57,1.55,14,NA,NA,NA,5.16,1.74,19,5.33,1.86,6,3.33,2.11,39,3.3,2.08,20,937
sickness,2.17,1.77,59,3.38,2.1,58,2.4,1.27,20,2.55,1.51,11,3.95,2.25,41,4.04,2.4,23,405
sidekick,NA,NA,NA,5.74,2,19,6.14,2.2,21,6.31,2.02,16,4.08,2.12,25,3.71,2.49,14,137
sight,6.16,1.97,37,5.24,1.95,46,7.11,1.41,18,6.91,1.38,11,3.2,2.89,20,4.22,3.8,9,2311
significance,5.78,1.65,59,5.41,1.96,58,6.21,1.72,19,7.22,1.39,9,4,1.92,21,4.78,1.3,9,178
significant,NA,NA,NA,6.05,2.06,22,6.6,1.27,20,6.6,1.17,10,4.9,2.51,20,4.25,2.55,8,331
silent,6.14,1.79,14,NA,NA,NA,5.14,1.98,21,5.5,1.85,8,3.21,2.02,24,4,1.92,14,1173
silk,6,1.82,27,4.21,2.29,33,6.55,1.93,40,6.43,1.65,14,3.88,2.5,41,3.48,2.25,23,499
silly,4.94,2.62,16,4.81,1.94,26,6.72,1.72,39,6.83,1.34,18,4.86,2.36,42,4.4,2.16,15,2912
silverware,5.13,1.47,77,4.81,1.87,72,5.76,1.64,21,6.4,1.9,10,2.96,1.87,23,3,1.9,11,109
similar,5.67,1.63,15,4.06,1.92,17,5.86,1.42,21,6.5,1.91,4,3.43,1.83,21,3.7,2,10,695
sincerity,7.29,1.07,14,NA,NA,NA,7.9,1.21,20,7.73,1.35,11,4.42,2.48,19,4.8,2.57,10,102
sing,7.67,1.29,15,5.71,2.78,17,7.5,1.37,22,7.57,1.28,14,4.1,2.49,21,4.33,2.29,9,4977
sink,4.71,2.92,14,NA,NA,NA,4.62,1.63,21,4.58,1.73,12,3.7,2.18,23,3.38,1.93,16,863
sir,5.86,2.11,14,NA,NA,NA,5.45,1.41,22,5.57,1.45,14,4.33,2.35,21,4.33,2.35,9,49188
sister,6.78,1.81,37,4.6,2.44,48,7,1.77,22,6.79,2.01,14,3.86,2.06,21,3.67,1.94,9,9207
situation,4.94,1.44,16,4.26,1.99,27,5.33,1.53,18,4.91,1.45,11,4.05,2.58,20,3.67,2.87,9,4207
size,NA,NA,NA,4.59,2.17,22,5.61,1.42,18,5.55,1.44,11,3.14,2.17,21,2.78,2.28,9,2353
sketch,5.86,1.93,37,4.62,1.6,47,6.21,1.4,19,5.43,0.79,7,4.33,2.2,21,4.43,1.99,7,252
ski,5.6,1.64,15,5.94,2.28,17,5.91,2.11,22,6.25,2.05,12,6.05,2.55,19,5.9,2.92,10,413
skid,4.26,1.86,68,5.07,1.72,61,4,1.92,21,4.17,2.14,6,4.45,2.16,20,4.4,2.22,10,111
skiing,5.93,2.08,59,6.61,2.1,57,6.25,2.07,20,6.25,2.05,8,5.4,2.36,25,5.71,2.43,14,212
skin,5.98,1.58,59,5.37,1.89,57,5.78,1.63,18,5.55,1.63,11,3.25,2.51,20,3.22,3.27,9,2246
skip,5,2.22,14,NA,NA,NA,4.76,1.58,21,4.75,1.98,8,4.25,1.96,24,4.93,1.77,14,1076
skirt,6,1.41,27,4.85,2.41,33,6.14,1.88,21,6.75,2.05,8,4.88,2.63,24,5.71,2.02,14,508
skunk,2.85,2.04,74,4.24,2.01,66,3.78,1.96,18,4,1.83,7,5.81,2.23,21,4.86,2.04,7,166
sky,7.81,1.33,16,4.67,2.45,27,7.32,1.7,19,7.7,1.42,10,2.74,1.91,23,3.36,1.69,11,2285
slack,3.94,1.82,77,3.73,1.7,73,3.85,1.6,20,4.4,1.51,10,3.22,2.26,18,3.71,2.43,7,302
slap,3.47,2.23,15,6.12,2.12,17,2.95,1.43,19,3.3,1.64,10,4.59,2.3,22,5.11,2.47,9,636
slash,4.67,1.8,15,4.38,1.94,26,4.85,1.73,20,5.23,1.64,13,5.65,2.81,20,6.83,2.29,12,122
slate,4.31,1.2,32,3.9,1.91,42,4.77,1.11,22,4.62,1.06,8,3.19,2,26,3.54,2.22,13,165
slayer,3.62,2.43,13,4.77,2.35,26,4.43,2.56,21,4.88,2.5,16,4.88,2.8,24,4.5,3.13,14,144
sleep,7.3,1.68,27,4.61,2.9,33,7.22,1.65,41,7.1,1.97,20,3.6,2.57,43,3.91,2.71,23,11625
sleepy,4.8,2.41,35,3.18,2.24,49,4.36,1.36,22,4.25,1.49,8,3.04,2.51,23,2.78,2.28,9,437
slice,NA,NA,NA,4.55,2.46,22,5.05,1.65,19,5.33,2.34,6,3.5,2.52,20,3.14,1.86,7,435
slick,4.9,1.69,77,4.66,1.86,70,5,1.49,20,4.56,2.01,9,4.17,2.79,24,4.42,2.61,12,350
slim,6.67,2.06,58,6.23,2.07,57,6.63,1.61,19,7.33,1.5,9,4.26,2.07,23,4.7,2.26,10,605
slime,4.33,1.88,33,4.57,2.14,44,3.15,1.57,41,2.94,1.29,16,4.58,2.47,43,4.06,2.82,18,141
sling,4.42,1.14,26,4.47,1.72,30,4.26,1.59,19,4.09,1.7,11,4.9,1.94,20,5.27,1.85,11,117
slippery,4.11,1.76,81,4.9,1.92,71,4.38,1.36,21,5,1.77,8,5.35,2.4,23,5.44,2.74,9,225
slob,NA,NA,NA,4.33,2.17,18,2.48,1.33,21,2.83,1.72,6,4.7,2.43,20,4.8,2.86,10,182
slope,4.67,1.49,27,4.47,1.9,32,5.42,1.46,19,5.27,1.56,11,3.59,2.89,22,3.64,3.01,11,150
sloppy,2.98,1.39,53,3.92,1.77,52,3.42,1.89,19,3.6,1.26,10,3.64,1.84,22,3.56,1.88,9,300
slot,4.86,1.35,14,3.88,1.42,25,5.2,1.51,20,5.33,1.66,9,4.1,2.21,21,4.23,1.74,13,280
smash,4.45,1.93,82,5.24,1.92,76,4.68,1.46,22,4.9,1.97,10,5.76,2.17,21,5,2.45,11,421
smear,4.06,1.81,72,4.29,1.74,65,3.84,1.64,19,3.78,1.72,9,4.04,2.74,23,3.64,3.14,11,111
smoker,2.81,1.49,27,4.69,2.13,32,3.59,2.02,22,3,1.81,12,3.79,1.96,19,4.2,1.87,10,116
smooth,6.19,1.69,27,4.33,2.29,33,6.42,1.77,19,6.14,1.68,7,2.76,2.02,21,2.8,2.25,10,932
smuggle,NA,NA,NA,4.76,1.75,17,3.89,2.31,19,5.57,1.27,7,5.09,2.65,22,4.8,2.25,10,102
snack,6.59,2.04,87,6.2,2.04,79,6.53,1.35,19,6.75,1.75,8,4.11,2.14,18,4.14,2.19,7,466
snake,3.88,1.78,16,5.67,2.34,27,4.03,1.79,38,4.47,1.87,17,7.24,1.61,21,7.1,1.52,10,1140
snappy,3.77,1.61,26,4.48,1.73,31,5.55,2.18,22,5.1,2.42,10,5.05,2.56,21,4.36,2.77,11,150
sneeze,4.33,1.92,86,4.56,1.94,78,4,1.9,21,2.75,1.71,4,4.81,2.02,21,4.3,2.11,10,150
snot,3.43,1.55,14,4.6,2.53,15,3.55,1.67,20,4,1.62,14,4.14,2.23,22,3.83,2.21,12,108
snow,NA,NA,NA,6.1,2.12,21,6.78,1.78,37,6.57,1.75,21,4.57,2.72,42,5.13,2.72,23,1599
snuff,4.77,1.75,44,5.05,1.78,44,3.58,1.84,19,4.11,2.2,9,3.65,2.48,20,5,2.65,7,102
soak,5,2.08,14,NA,NA,NA,6.05,1.53,21,5.83,1.85,12,3,2.28,23,3.3,2.21,10,176
social,5.67,1.75,27,4.76,2.24,33,6.08,1.62,40,6.62,1.41,24,5.16,2.3,43,5.91,2.04,23,1703
society,5.08,1.92,37,4.46,1.87,48,5.24,1.61,21,5.08,1.62,12,4.55,2.04,20,4.33,2.12,9,1679
soda,6.06,1.34,16,5.27,1.89,26,5.47,2.06,19,5.2,1.55,10,4.77,2.27,22,5.89,2.42,9,1012
sodium,4.83,1.92,36,4.43,1.67,49,4.17,2.01,18,4.3,1.57,10,3.73,2.1,22,4.33,1.94,9,126
sofa,NA,NA,NA,5.09,2.69,22,6.26,1.69,19,6.3,1.83,10,2.9,2.57,21,2.71,2.81,7,299
softball,5.47,1.68,15,5.35,2.21,17,5.53,1.71,19,5.1,1.45,10,4.1,2.41,21,3.29,1.8,7,115
software,4.83,1.92,58,4.28,2.32,58,6.37,1.57,19,6.44,1.51,9,3.83,2.48,23,3.7,2.63,10,430
soldier,5.43,2.06,14,NA,NA,NA,5.45,2.34,22,6.17,2.66,12,5.9,2.55,20,6.56,2.6,9,1985
sole,5.06,1.44,16,4.24,1.81,25,4.9,1.34,21,4.6,1.35,10,3.78,1.93,23,4,1.9,11,268
solid,5.07,1.52,59,4.33,1.91,57,5.65,1.73,20,5.1,1.97,10,2.36,1.73,22,2.6,2.61,5,998
solitary,5.19,2.2,16,4.71,1.65,24,4.65,2.16,20,4.09,2.43,11,2.96,2.68,24,2.8,2.44,10,174
solitude,5.06,2.43,53,3.92,2.41,52,4.76,2.36,21,3.38,2.62,8,3.18,2.28,22,2.89,2.03,9,102
soothing,NA,NA,NA,5.56,2.33,18,7.05,1.66,21,6.22,1.48,9,1.91,1.31,22,3,2,5,115
sophomore,NA,NA,NA,4.85,2.43,20,5,1.11,22,4.75,1.75,8,3.81,1.98,26,4.15,1.77,13,146
sore,4.86,1.79,14,NA,NA,NA,2.8,1.2,20,3.1,1.1,10,4.06,2.26,18,4.43,2.37,7,765
sorrow,2.88,1.54,16,4.73,2.31,26,2.95,1.72,21,3.78,2.05,9,3.55,1.95,22,3.8,1.79,5,350
sorry,3.89,2.17,27,4.3,1.98,33,4.81,1.83,21,4.85,1.99,13,4.62,2.46,21,5.44,2.51,9,59566
source,5.14,1.61,14,NA,NA,NA,5.48,1.08,21,5.33,1.07,12,4.5,2.63,20,5.22,2.68,9,1437
south,5.43,1.88,37,4.31,2.17,48,6.11,1.68,18,6,1.95,11,3.48,2.42,21,4.11,2.93,9,3288
sovereign,NA,NA,NA,5.62,1.85,13,4.96,1.83,24,5.09,2.26,11,3.68,1.91,22,3.82,1.99,11,128
spa,6.43,1.74,14,NA,NA,NA,7.38,1.56,21,7.08,1.88,12,3.75,2.83,24,4.3,2.98,10,239
space,7,1.47,14,NA,NA,NA,6.89,1.57,38,7.19,1.47,21,3.6,2.82,45,3.57,2.77,21,3369
spacecraft,5.38,1.93,56,5.67,2.35,55,5.58,1.8,19,5.4,1.43,10,6.27,2.83,22,6.78,2.68,9,115
spaceship,5.95,2.04,37,5.47,1.89,47,5.61,2.19,23,5.75,2.53,12,6,3.07,21,6,3.2,10,188
span,4.87,1.41,15,4.62,2.28,16,5.74,1.41,19,6.11,1.83,9,3.1,2.17,20,4.71,2.43,7,101
spare,5.75,1.39,16,4.44,1.42,25,5.57,1.29,21,5.58,1.38,12,4.45,2.42,20,4.89,2.42,9,1573
spark,6.38,1.85,37,5.87,1.92,46,6.05,1.86,21,5.75,2.22,12,5.83,2.55,23,5.56,2.73,16,320
special,7,1.81,15,6.65,2,17,7.5,1.79,22,7.21,2.15,14,3.48,2.68,21,3.33,2.96,9,7577
specialist,5.47,2.09,59,5.09,2.13,58,5.52,2.11,21,5.4,2.27,10,4.27,2.43,22,4.45,2.11,11,264
specialty,5.69,1.78,16,5.27,1.93,26,5.48,1.4,21,5.42,1.44,12,3.7,3.02,23,4,2.94,10,272
specimen,4.92,1.55,25,4.9,1.84,29,4.4,1.85,20,4.2,1.97,15,3.24,2.11,25,3.43,2.41,14,242
spectacular,7.19,1.52,16,5.22,2.45,27,7.5,1.36,20,7.36,1.69,11,6.65,2.43,20,5.91,2.77,11,289
speech,5.32,2.19,37,5.02,1.92,48,5.62,1.88,21,5.58,1.62,12,4.1,1.83,20,4.22,1.99,9,1940
speeding,NA,NA,NA,6.45,2.18,22,3.68,1.92,19,5.14,2.04,7,6.14,2.4,22,5,2.05,10,254
speedy,6.27,1.83,59,6.95,1.73,57,5.9,1.12,20,6.29,0.76,7,5.1,2.59,21,6,2.45,7,100
spell,5.25,1.76,85,4.99,1.94,78,6.18,1.92,22,5.25,1.96,12,4.15,2.43,20,4.33,2.55,9,1869
spend,5,2.08,14,NA,NA,NA,5.91,1.66,22,6,1.71,14,4.48,2.4,21,4.56,2.74,9,4757
spice,6.31,1.68,58,6.05,1.81,56,6.55,1.28,20,6.5,0.97,10,4.06,2.1,18,4.7,2.16,10,270
spicy,6.59,2.27,37,6.16,2.11,49,6.32,1.73,22,5.67,1.72,12,6.63,2.52,19,6,2.67,10,169
spider,3.03,1.81,36,5.73,2.41,48,3.35,2.3,20,3.5,2.07,10,6.91,1.93,22,7.78,1.09,9,515
spike,5.57,2.53,14,NA,NA,NA,4.23,1.77,22,4,2.27,8,5.35,2.14,23,5.78,1.92,9,625
spill,3.67,2.09,15,5,2.4,17,3.63,1.71,19,4.5,2.51,6,3.74,2.26,19,3,2.08,7,432
spinal,4.27,1.16,15,4.71,1.88,24,3.78,2.26,18,4.43,2.7,7,4.35,2.68,20,3.33,2.5,9,218
spine,4.7,1.41,27,4.42,1.86,24,5.33,1.53,21,5.55,1.57,11,3.14,2.08,21,2.4,1.95,5,293
spirit,6.2,2.18,15,5.06,2.51,17,7,1.65,43,6.77,1.8,22,5.03,2.71,39,5.35,2.83,17,2517
spit,2.33,1.29,15,4.42,1.88,26,3,1.78,20,2.88,0.99,8,3.57,2.4,21,3.4,2.55,10,987
split,NA,NA,NA,4.42,2.14,19,4.5,2.22,22,5,2.45,12,5.55,2.63,20,5.67,2.78,9,1954
spoil,3.74,1.53,27,5.03,1.98,32,2.83,1.65,18,2.9,1.79,10,4.09,2.84,22,3.64,2.73,11,593
spoils,3.75,2.02,36,4.81,1.79,47,3.42,1.84,19,2.78,1.86,9,4.76,2.07,21,4.67,2.06,9,105
sponge,4.84,1.53,56,4.74,1.73,54,5.45,1.32,20,5.73,1.56,11,4.25,2.17,20,5.09,1.97,11,342
sponsor,5.94,1.69,16,4.85,1.71,26,5.3,1.42,20,5.27,1.35,11,4.05,2.65,22,4.11,2.09,9,273
spoon,5.29,1.44,84,4.62,1.81,76,5.9,1.34,21,6.33,1.41,9,3.79,2.97,19,4.78,3.11,9,388
sporting,5.69,1.41,26,4.71,1.95,31,6.24,1.37,21,6.19,1.56,16,4.4,2.25,25,4.14,2.11,14,159
spotlight,5.86,1.51,14,NA,NA,NA,5.74,1.76,19,5.57,2.15,7,4.95,2.5,21,5,3.16,7,148
spread,4.99,1.54,84,4.75,1.71,77,5.57,1.16,21,5.58,1.31,12,4.15,2.3,20,4.67,2,9,1596
spree,6.38,2.14,13,5.56,1.9,16,5.95,1.68,19,5.78,1.99,9,5,2.69,24,4.67,3.11,12,109
spring,7.23,2,87,6.96,2.07,79,7.64,1.46,44,7.77,1.77,22,5.5,2.57,18,5.8,2.7,10,1597
squad,NA,NA,NA,6.28,2.19,18,5.35,1.84,20,6,0.82,10,4.33,2.81,18,5.3,3.09,10,1096
squat,4.86,2.51,14,NA,NA,NA,4.65,1.9,20,5,1.67,11,4.05,1.99,21,4.25,1.75,8,160
squeal,5.07,2.37,15,6.06,1.92,17,5.14,1.8,21,4.17,1.47,6,5.45,2.68,20,5.2,3.12,10,136
squeeze,4.71,1.9,14,NA,NA,NA,4.85,1.46,20,4.82,1.17,11,3.91,2.52,22,4.11,2.32,9,769
squirt,5.28,2.09,53,5.57,2.15,51,5.67,2.37,21,5.56,2.42,16,4.56,2.33,25,3.79,2.72,14,140
stable,6.02,1.88,83,4.13,2.23,77,5.2,2.04,20,5.3,2,10,3.11,2.52,18,4,2.89,7,673
stadium,6.04,1.74,57,6.11,2.12,56,5.53,1.68,19,5.5,1.35,10,5.25,2.55,20,3.57,2.07,7,312
stairwell,5.14,1.29,36,3.83,1.54,47,5.67,1.65,21,5.71,2.29,7,2.96,2.16,23,3.55,2.07,11,108
stakeout,4.42,1.22,19,4.43,2.04,23,4.43,1.4,21,3.83,1.17,6,5.9,2.27,20,5.6,2.63,10,100
stale,3.1,1.73,49,3.98,1.84,46,3.62,1.4,21,3.73,1.56,11,2.68,1.94,22,2.6,2.19,5,149
stall,4.86,2.25,14,NA,NA,NA,4.32,1.11,19,4.56,1.01,9,2.9,1.71,20,3.11,1.62,9,457
stallion,5.1,1.99,29,5.74,1.88,38,6.35,1.46,20,6.18,1.47,11,4.77,2.71,22,5.78,2.59,9,163
stamp,NA,NA,NA,4.41,2.4,22,5.8,1.44,20,6.09,1.81,11,3.45,2.21,20,3.27,2.24,11,302
star,6.85,1.54,27,5.58,2.42,33,7.47,1.61,19,7.78,1.56,9,5.5,2.78,20,6,2.52,7,4149
stare,4.46,1.68,82,4.45,1.8,74,4.45,1.61,20,4.64,1.55,14,4.68,2.42,22,4.62,3.02,8,508
starve,2.29,1.75,59,4.12,2.04,57,2.53,1.02,19,2.38,1.06,8,4,2.59,18,2.71,1.8,7,314
stash,4.87,1.66,30,4.65,1.81,43,5.24,1.55,21,6.22,1.09,9,4.64,2.4,22,4.6,2.97,5,257
statue,4.8,1.36,181,3.63,1.98,215,5.95,1.35,19,6.33,1.32,9,2.82,2.01,917,2.97,2.1,414,540
steady,NA,NA,NA,4.14,2.33,21,6.67,1.74,21,6.58,2.07,12,3,2.62,24,2.8,2.3,10,1158
step,5.11,1.12,27,4.58,1.75,33,5.68,1.49,22,5.86,1.79,14,3.48,1.86,21,3.11,1.83,9,6052
stepfather,3.12,1.26,16,4.44,2.06,25,3.72,2.19,18,3.3,1.77,10,3.59,2.06,22,4,2.12,9,151
stepmother,3.2,1.61,15,4.82,2.74,17,3.67,1.91,21,3.86,2.12,7,3.69,2.2,26,3.54,2.07,13,216
steps,6.14,1.29,14,NA,NA,NA,4.95,1.36,20,5.3,1.57,10,3,2.11,18,3.43,2.3,7,1259
sterile,3.5,1.72,50,3.5,1.65,48,4.57,1.99,21,4.08,2.02,12,4.47,1.74,19,4.5,1.72,10,111
sterling,5.4,1.32,25,4.48,1.96,31,5.89,1.85,19,5.5,2.32,10,5.32,2.21,19,5,2.21,10,113
stern,4.86,2.32,14,NA,NA,NA,3.9,1.07,20,3.86,0.77,14,3.91,2.24,22,4,2.49,12,327
stick,4.93,1.67,15,3.76,2.39,17,5.27,1.2,22,5.29,1.38,14,3.81,1.97,21,3.56,2.3,9,4953
sticky,NA,NA,NA,4.43,1.86,21,4.65,1.84,20,4.36,2.01,11,4.75,2.36,20,5,2.32,11,292
stiff,3.97,1.86,32,4.23,1.94,44,4.29,1.63,41,4.36,1.62,22,4,2.31,22,4.56,2.92,9,523
stinky,2.69,1.14,16,4.31,1.76,26,3.16,0.9,19,3.38,0.74,8,3.76,1.82,17,3.14,1.68,7,182
stir,NA,NA,NA,5.11,2.16,19,5.35,1.42,20,5.44,1.94,9,3.05,2.04,21,2.91,2.17,11,301
stock,4.83,1.64,60,5.14,1.88,58,5.5,1.44,22,5.3,1.49,10,3.5,2.46,20,4.57,2.99,7,1300
stocking,4.37,1.42,27,4.42,2.19,31,5.33,1.74,21,5.38,2.26,8,4.08,1.91,24,4.79,1.72,14,134
stomp,3.97,1.59,30,5.02,1.67,42,3.9,1.77,20,3.73,1.19,11,4.82,2.58,22,5.11,2.32,9,136
stool,4.41,1.42,34,3.89,1.85,45,4.47,1.61,43,4.36,1.94,22,2.39,1.69,18,2.2,1.62,10,179
storage,5.75,1.65,16,4.07,1.66,27,4.95,1.7,20,5.18,1.08,11,3.68,2.42,22,3.33,1.73,9,452
storm,4.71,2.7,14,NA,NA,NA,5.74,2.51,19,6.44,2.35,9,5.86,2.73,22,6.1,2.6,10,1574
story,6.85,1.75,60,6.56,2.08,57,7.27,1.24,22,7.43,1.34,14,3.52,2.54,21,2.89,2.32,9,11260
straighten,5.25,1.66,36,4.74,1.61,47,6.26,1.76,19,6.43,1.4,7,3,2.3,21,2.4,2.07,10,571
strange,4.43,1.88,84,4.79,1.94,78,4.72,0.96,18,4.82,1.17,11,3.5,2.35,20,3.33,2.65,9,4408
stranger,4.43,1.83,14,NA,NA,NA,4.09,1.63,22,4.5,1.83,12,5.8,2.28,20,5,2.45,9,1377
strap,3.77,1.48,13,5.12,1.76,25,5.1,1.21,20,5.29,0.73,14,4.23,2.31,22,4,2.83,8,263
strategic,6.04,1.09,27,4.85,2.08,33,6.57,1.36,21,6.11,1.45,9,4.32,2.28,22,6.6,1.14,5,132
straw,5.54,1.3,37,4.31,2.16,48,5.89,1.75,18,5.43,2.07,7,2.35,1.6,20,1.89,1.62,9,318
stray,5.14,1.79,14,NA,NA,NA,4.14,1.28,22,4.4,1.35,10,3.71,2.37,21,3,2.32,11,272
stream,5.29,1.77,82,4.66,2.02,76,6.9,2,21,6.56,1.94,9,4.35,2.78,20,4.44,2.74,9,410
stress,NA,NA,NA,4.82,1.99,22,1.79,0.92,19,1.8,0.92,10,4.72,2.95,18,5.1,3.18,10,796
stretcher,4.16,1.88,79,4.64,1.87,74,3.1,2,20,2.55,1.57,11,3.82,2.56,22,4.33,1.87,9,113
strip,NA,NA,NA,4.67,2.28,18,4.68,1.92,19,5,1.29,7,5.27,2.29,22,6.1,1.97,10,800
stripper,3.5,2.18,14,6.12,2.32,17,5.19,2.18,21,5.25,2.63,4,5.57,2.13,21,6.5,1.35,10,267
structure,5,1.72,59,4.38,1.97,58,5.68,2.08,19,6,1.41,10,4,1.66,22,4.33,1.8,9,519
struggle,3.04,1.63,27,5.27,2.08,33,3,1.82,21,2.33,1.37,6,5.9,2.2,20,6,2.31,10,682
stubborn,NA,NA,NA,4.26,2.02,19,3.74,2.13,19,4.11,2.67,9,4.13,1.66,23,3.9,2.18,10,554
stud,4.57,1.99,14,NA,NA,NA,4.89,1.91,19,5.1,1.37,10,5.14,2.29,21,5.29,2.87,7,354
studio,NA,NA,NA,5,2.55,21,6.24,1.58,21,6.75,1.98,8,4.79,1.89,24,5.57,1.45,14,1190
study,4.85,2.07,27,4.06,2.02,32,5.78,1.99,18,5,1.79,11,2.55,1.76,20,2.22,2.11,9,2501
stuff,5,1.14,27,4.58,1.9,33,5.86,0.96,21,5.69,0.85,13,3.52,2.36,21,4,2.83,9,15653
stumble,NA,NA,NA,4.39,2.38,18,3.76,1.22,21,3.5,1.29,4,4.76,2.26,21,4,2.49,10,100
stunning,6.41,2.13,37,5.34,2.2,47,6.24,2.34,21,6.62,2.14,13,6.5,2.06,20,6.75,1.91,12,209
stunt,4,1.83,13,5.88,2.09,17,4.95,1.6,21,5,1.63,4,4.81,2.27,21,5.2,2.9,10,469
stupid,4.86,2.91,14,NA,NA,NA,2.84,2.01,43,3.14,2.29,21,4.34,2.6,47,3.62,2.58,26,9405
stylish,6.73,2.07,82,5.97,2.33,74,5.68,2.28,22,6.25,2.09,12,4.27,2.85,22,3.64,2.69,11,110
sub,5.4,1.76,15,4,1.94,17,5,1.48,21,5,1.32,9,3.35,1.84,20,3.4,1.52,5,390
